VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	MARIEVILLE	ST HYACINTHE 2	IBERVILLE	FARNHAM	SABREVOIS	STE MADELEINE	FLEURY	ST GUILLAUME	STE MARTINE	GRANBY	ST NAZAIRE	DRUMMONDVILLE	PHILIPSBURG	ST BERNARD DE LACOLLE	RICHMOND
Max Temp (deg C)	2006	3	29	4	0.9	12.3	12.5	12.0	12.5	13.0										
Max Temp (deg C)	2006	3	30	4	0.9	15.0	15.0	15.0	14.5	16.0										
Max Temp (deg C)	2006	3	31	4	0.9	21.2	21.0	21.0	21.5	22.0										
Max Temp (deg C)	2006	4	1	4	0.9	16.8	18.0	15.5	19.0	16.0										
Max Temp (deg C)	2006	4	2	4	0.9	10.8	11.5	11.0	10.0	10.0										
Max Temp (deg C)	2006	4	3	4	0.9	12.9	14.0	12.0	13.5	12.5										
Max Temp (deg C)	2006	4	4	4	0.9	4.3	3.0	5.5	5.0	3.0										
Max Temp (deg C)	2006	4	5	4	0.9	4.1	3.0	4.0	6.0	5.0										
Max Temp (deg C)	2006	4	6	4	0.9	8.2	8.5	8.0	8.0	8.5										
Max Temp (deg C)	2006	4	7	4	0.9	7.5	7.5	8.0	8.0	5.5										
Max Temp (deg C)	2006	4	8	4	0.9	4.9	5.0	5.0	4.0	5.5										
Max Temp (deg C)	2006	4	9	4	0.9	8.5	8.0	9.0	8.0	9.0										
Max Temp (deg C)	2006	4	10	4	0.9	14.3	14.0	14.5	14.0	14.5										
Max Temp (deg C)	2006	4	11	4	0.9	17.1	17.0	17.0	17.0	17.5										
Max Temp (deg C)	2006	4	12	4	0.9	21.0	22.0	20.0	22.5	20.5										
Max Temp (deg C)	2006	4	13	4	0.87	13.2	12.0	13.5	15.0		12.0									
Max Temp (deg C)	2006	4	14	4	0.9	16.4	16.0	16.5	17.0	16.0										
Max Temp (deg C)	2006	4	15	4	0.9	15.3	15.0	15.5	15.0	15.8										
Max Temp (deg C)	2006	4	16	4	0.9	10.0	9.0	11.5	8.0	10.0										
Max Temp (deg C)	2006	4	17	4	0.9	10.4	9.0	11.0	10.0	12.5										
Max Temp (deg C)	2006	4	18	4	0.9	18.1	18.0	18.5	17.0	18.0										
Max Temp (deg C)	2006	11	18	4	0.9	4.8	4.5	4.5	4.0	7.5										
Max Temp (deg C)	2006	12	30	4	0.9	-5.1	-6.0	-5.0	-2.0	-6.5										
Max Temp (deg C)	2006	12	31	4	0.9	3.7	3.0	4.0	4.0	4.5										
Max Temp (deg C)	2007	2	8	4	0.9	-10.4	-10.0	-10.0	-11.5	-10.5										
Max Temp (deg C)	2007	2	9	4	0.9	-11.1	-12.0	-11.0	-12.0	-8.0										
Max Temp (deg C)	2007	2	10	4	0.9	-6.4	-8.0	-5.0	-7.5	-5.5										
Max Temp (deg C)	2007	2	11	4	0.9	-4.8	-6.0	-4.0	-4.5	-4.5										
Max Temp (deg C)	2007	8	9	4	0.93	22.8	23.0		22.0	23.0	23.0									
Max Temp (deg C)	2007	8	10	4	0.93	26.4	27.0		25.5	26.0	27.0									
Max Temp (deg C)	2007	8	11	4	0.93	27.3	28.0		27.5	28.0	25.0									
Max Temp (deg C)	2007	8	25	4	0.9	29.4	29.0	29.0	30.5	30.5										
Max Temp (deg C)	2007	9	22	4	0.9	27.7	28.0	28.0	27.0	26.5										
Max Temp (deg C)	2007	11	22	4	0.9	-0.7	-2.0	-0.5	0.5	1.0										
Max Temp (deg C)	2007	11	23	4	0.9	-4.6	-5.0	-4.5	-5.0	-3.0										
Max Temp (deg C)	2007	11	24	4	0.9	0.8	0.5	1.4	-0.5	1.5										
Max Temp (deg C)	2007	11	25	4	0.9	3.3	2.0	4.0	3.5	4.0										
Max Temp (deg C)	2007	11	26	4	0.9	2.9	2.0	3.5	3.0	3.0										
Max Temp (deg C)	2007	11	27	4	0.9	2.7	2.0	3.0	3.0	3.0										
Max Temp (deg C)	2007	11	28	4	0.9	2.7	2.0	4.0	2.5	1.0										
Max Temp (deg C)	2007	11	29	4	0.9	3.9	3.0	4.5	4.5	4.0										
Max Temp (deg C)	2007	12	24	4	0.9	0.8	1.0	1.0	1.0	0.0										
Max Temp (deg C)	2008	1	27	4	0.9	-6.1	-7.0	-6.0	-4.5	-6.0										
Max Temp (deg C)	2008	1	28	4	0.9	-4.2	-7.0	-3.5	-0.6	-3.5										
Max Temp (deg C)	2008	1	29	4	0.9	4.2	5.0	4.5	5.0	1.0										
Max Temp (deg C)	2008	1	30	4	0.9	5.0	5.0	5.0	5.5	5.0										
Max Temp (deg C)	2008	2	7	4	0.9	-6.5	-8.0	-7.0	-4.0	-4.0										
