VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	ST HYACINTHE 2	FLEURY	STE MADELEINE	MARIEVILLE	ST GUILLAUME	ST NAZAIRE	IBERVILLE	FARNHAM	DRUMMONDVILLE	SABREVOIS	ST AMABLE	GRANBY	PIERREVILLE	DANVILLE	STE MARTINE	PHILIPSBURG	ST BERNARD DE LACOLLE	VERCHERES
Max Temp (deg C)	2011	5	14	4	0.87	12.8	13.0	12.0	13.0		12.5												
Max Temp (deg C)	2011	5	15	4	0.9	12.1	12.0	13.0	12.0			11.0											
Max Temp (deg C)	2011	5	16	4	0.87	7.8	6.5	6.5	9.0		8.0												
Max Temp (deg C)	2011	5	17	4	0.87	13.1	12.0	12.5	14.0		12.5												
Max Temp (deg C)	2011	5	18	4	0.9	19.7	18.0	20.0	20.0			21.0											
Max Temp (deg C)	2011	5	19	4	0.9	24.0	22.5		25.0		23.0	24.5											
Max Temp (deg C)	2011	5	20	4	0.9	24.1	24.0	24.5			24.0	23.0											
Max Temp (deg C)	2011	5	21	4	0.94	22.5	22.0	23.0		21.5	22.0												
Max Temp (deg C)	2011	5	22	4	0.9	22.5	20.5	22.5	24.0			22.0											
Max Temp (deg C)	2011	5	23	4	0.87	23.1	23.0	23.0	22.0		24.0												
Max Temp (deg C)	2011	5	24	4	0.9	24.1	25.0	24.5	23.0			23.0											
Max Temp (deg C)	2011	5	25	4	0.9	19.6	18.0	21.0	20.0			19.5											
Max Temp (deg C)	2011	5	26	4	0.88	21.7	21.0	21.0	22.0	21.5													
Max Temp (deg C)	2011	5	27	4	0.87	14.9	12.5	13.5	15.0		17.5												
Max Temp (deg C)	2011	5	28	4	0.94	20.8	18.0	22.0		20.0	21.0												
Max Temp (deg C)	2011	5	29	4	0.9	21.9	20.5	21.5	22.5			22.5											
Max Temp (deg C)	2011	5	30	4	0.88	26.3	26.5	26.5	26.0	26.0													
Max Temp (deg C)	2011	5	31	4	0.87	28.2	27.5	28.5	28.5		27.0												
Max Temp (deg C)	2011	6	1	4	0.9	30.7	29.5	31.0	31.0			30.5											
Max Temp (deg C)	2011	6	2	4	0.9	14.8	14.0	16.5	14.0			15.5											
Max Temp (deg C)	2011	6	3	4	0.9	22.3	21.5	22.5	22.5			22.0											
Max Temp (deg C)	2011	6	4	4	0.9	21.6	21.0	21.5	21.5			22.0											
Max Temp (deg C)	2011	6	5	4	0.87	23.5	23.5	24.0	23.0		23.0												
Max Temp (deg C)	2011	6	6	4	0.9	27.0	26.0	27.5	27.5			26.0											
Max Temp (deg C)	2011	6	7	4	0.9	29.3	27.5		29.5	30.0		29.0											
Max Temp (deg C)	2011	6	8	4	0.9	32.8	32.0	33.0	33.0			32.0											
Max Temp (deg C)	2011	6	9	4	0.9	28.5	28.0	27.0	29.0			29.0											
Max Temp (deg C)	2011	6	10	4	0.9	22.5	22.0	22.5	23.0			21.5											
Max Temp (deg C)	2011	6	11	4	0.87	22.5	22.0	23.0	22.0		22.5												
Max Temp (deg C)	2011	6	12	4	0.95	16.6	16.0	17.5			15.5			16.5									
Max Temp (deg C)	2011	6	13	4	0.87	15.4	14.0	15.0	16.0		15.5												
Max Temp (deg C)	2011	6	14	4	0.88	23.5	23.5	23.5	23.0	24.0													
Max Temp (deg C)	2011	6	15	4	0.89	29.3	28.5		29.0	30.0	29.0												
Max Temp (deg C)	2011	6	16	4	0.9	31.7	31.0	31.5	32.0			31.0											
Max Temp (deg C)	2011	6	17	4	0.87	28.2	28.5	29.0	27.0		28.0												
Max Temp (deg C)	2011	6	18	4	0.87	27.9	27.0	28.0	28.0		27.5												
