Station Name	QUEBEC/JEAN LESAGE INTL A
Province	QUEBEC
Latitude	46.8
Longitude	-71.38
Elevation	74.4
Climate Identifier	7016294

Created by	WHAT Beta 4.0.5
Created on	14/12/2014

*** FILL PROCEDURE INFO ***

MLR model	Least Absolute Deviations
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	1
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	1985/01/01
Date End	2005/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Max Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.63		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Min Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.61		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.45		3645 (99.8 % of filled)	8 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Total Precip (mm)	1764 (23.0 % of total)	1764 (100.0 % of missing)		1.0	3.26		1739 (98.6 % of filled)	3 (0.2 % of filled)	11 (0.6 % of filled)	11 (0.6 % of filled)

TOTAL	12723 (41.5 % of total)	12723 (100.0 % of missing)		---	---		12676 (99.6 % of filled)	25 (0.2 % of filled)	11 (0.1 % of filled)	11 (0.1 % of filled)


*** DETAILED REPORT ***

VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	QUEBEC/JEAN LESAGE INTL A	QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Mean Temp (deg C)	2001	1	19	1	0.45	-10.2	-10.2			
Mean Temp (deg C)	2001	1	20	1	0.45	-19.3	-19.3			
Mean Temp (deg C)	2001	1	21	1	0.45	-19.3	-19.3			
Mean Temp (deg C)	2001	1	22	1	0.45	-18.0	-18.0			
Mean Temp (deg C)	2001	1	23	1	0.45	-10.0	-10.0			
Mean Temp (deg C)	2001	1	24	1	0.45	-4.4	-4.4			
Mean Temp (deg C)	2001	1	25	1	0.45	-11.1	-11.1			
Mean Temp (deg C)	2001	1	26	1	0.45	-12.0	-12.0			
Mean Temp (deg C)	2001	1	27	1	0.45	-6.4	-6.4			
Mean Temp (deg C)	2001	1	28	1	0.45	-12.5	-12.5			
Mean Temp (deg C)	2001	1	29	1	0.45	-14.1	-14.1			
Mean Temp (deg C)	2001	1	30	1	0.45	-6.7	-6.7			
Mean Temp (deg C)	2001	1	31	1	0.45	-9.1	-9.1			
Mean Temp (deg C)	2001	2	1	1	0.45	-8.9	-8.9			
Mean Temp (deg C)	2001	2	2	1	0.45	-7.7	-7.7			
Mean Temp (deg C)	2001	2	3	1	0.45	-11.4	-11.4			
Mean Temp (deg C)	2001	2	4	1	0.45	-16.2	-16.2			
Mean Temp (deg C)	2001	2	5	1	0.45	-9.8	-9.8			
Mean Temp (deg C)	2001	2	6	1	0.45	-4.1	-4.1			
Mean Temp (deg C)	2001	2	7	1	0.45	-7.0	-7.0			
Mean Temp (deg C)	2001	2	8	1	0.45	-9.3	-9.3			
Mean Temp (deg C)	2001	2	9	1	0.45	-8.0	-8.0			
Mean Temp (deg C)	2001	2	10	1	0.45	-5.8	-5.8			
Mean Temp (deg C)	2001	2	11	1	0.45	-15.9	-15.9			
Mean Temp (deg C)	2001	2	12	1	0.45	-16.4	-16.4			
Mean Temp (deg C)	2001	2	13	1	0.45	-10.3	-10.3			
Mean Temp (deg C)	2001	2	14	1	0.45	-10.1	-10.1			
Mean Temp (deg C)	2001	2	15	1	0.45	-8.9	-8.9			
Mean Temp (deg C)	2001	2	16	1	0.45	-12.3	-12.3			
Mean Temp (deg C)	2001	2	17	1	0.45	-12.3	-12.3			
Mean Temp (deg C)	2001	2	18	1	0.45	-16.9	-16.9			
Mean Temp (deg C)	2001	2	19	1	0.45	-7.4	-7.4			
Mean Temp (deg C)	2001	2	20	1	0.45	-0.4	-0.4			
Mean Temp (deg C)	2001	2	21	1	0.45	-11.4	-11.4			
Mean Temp (deg C)	2001	2	22	1	0.45	-22.3	-22.3			
Mean Temp (deg C)	2001	2	23	1	0.45	-13.3	-13.3			
Mean Temp (deg C)	2001	2	24	1	0.45	-15.5	-15.5			
Mean Temp (deg C)	2001	2	25	1	0.45	-11.9	-11.9			
Mean Temp (deg C)	2001	2	26	1	0.45	-4.6	-4.6			
Mean Temp (deg C)	2001	2	27	1	0.45	-12.1	-12.1			
Mean Temp (deg C)	2001	2	28	1	0.45	-16.2	-16.2			
Mean Temp (deg C)	2001	3	1	1	0.45	-18.8	-18.8			
Mean Temp (deg C)	2001	3	2	1	0.45	-17.7	-17.7			
Mean Temp (deg C)	2001	3	3	1	0.45	-17.4	-17.4			
Mean Temp (deg C)	2001	3	4	1	0.45	-11.1	-11.1			
Mean Temp (deg C)	2001	3	5	1	0.45	-8.1	-8.1			
Mean Temp (deg C)	2001	3	6	1	0.45	-1.3	-1.3			
Mean Temp (deg C)	2001	3	7	1	0.45	-5.6	-5.6			
Mean Temp (deg C)	2001	3	8	1	0.45	-3.7	-3.7			
Mean Temp (deg C)	2001	3	9	1	0.45	-1.6	-1.6			
Mean Temp (deg C)	2001	3	10	1	0.45	-0.7	-0.7			
Mean Temp (deg C)	2001	3	11	1	0.45	-5.2	-5.2			
Mean Temp (deg C)	2001	3	12	1	0.45	-10.6	-10.6			
Mean Temp (deg C)	2001	3	13	1	0.45	-6.1	-6.1			
Mean Temp (deg C)	2001	3	14	1	0.45	-2.1	-2.1			
Mean Temp (deg C)	2001	3	15	1	0.45	-3.3	-3.3			
Mean Temp (deg C)	2001	3	16	1	0.45	-5.8	-5.8			
Mean Temp (deg C)	2001	3	17	1	0.45	-5.5	-5.5			
Mean Temp (deg C)	2001	3	18	1	0.45	-1.8	-1.8			
Mean Temp (deg C)	2001	3	19	1	0.45	1.1	1.1			
Mean Temp (deg C)	2001	3	20	1	0.45	0.7	0.7			
Mean Temp (deg C)	2001	3	21	1	0.45	0.3	0.3			
Mean Temp (deg C)	2001	3	22	1	0.45	0.7	0.7			
Mean Temp (deg C)	2001	3	23	1	0.45	-0.6	-0.6			
Mean Temp (deg C)	2001	3	24	1	0.45	-3.1	-3.1			
Mean Temp (deg C)	2001	3	25	1	0.45	-6.7	-6.7			
Mean Temp (deg C)	2001	3	26	1	0.45	-7.4	-7.4			
Mean Temp (deg C)	2001	3	27	1	0.45	-5.1	-5.1			
Mean Temp (deg C)	2001	3	28	1	0.45	-2.9	-2.9			
Mean Temp (deg C)	2001	3	29	1	0.45	-3.0	-3.0			
Mean Temp (deg C)	2001	3	30	1	0.45	-1.8	-1.8			
Mean Temp (deg C)	2001	3	31	1	0.45	-0.6	-0.6			
Mean Temp (deg C)	2001	4	1	1	0.45	-0.3	-0.3			
Mean Temp (deg C)	2001	4	2	1	0.45	-2.3	-2.3			
Mean Temp (deg C)	2001	4	3	1	0.45	0.9	0.9			
Mean Temp (deg C)	2001	4	4	1	0.45	2.1	2.1			
Mean Temp (deg C)	2001	4	5	1	0.45	2.2	2.2			
Mean Temp (deg C)	2001	4	6	1	0.45	-1.0	-1.0			
Mean Temp (deg C)	2001	4	7	1	0.45	0.8	0.8			
Mean Temp (deg C)	2001	4	8	1	0.45	0.8	0.8			
Mean Temp (deg C)	2001	4	9	1	0.45	3.6	3.6			
Mean Temp (deg C)	2001	4	10	1	0.45	3.5	3.5			
Mean Temp (deg C)	2001	4	11	1	0.45	2.6	2.6			
Mean Temp (deg C)	2001	4	12	1	0.45	2.8	2.8			
Mean Temp (deg C)	2001	4	13	1	0.45	3.3	3.3			
Mean Temp (deg C)	2001	4	14	1	0.45	0.4	0.4			
Mean Temp (deg C)	2001	4	15	1	0.45	2.5	2.5			
Mean Temp (deg C)	2001	4	16	1	0.45	4.9	4.9			
Mean Temp (deg C)	2001	4	17	1	0.45	2.8	2.8			
Mean Temp (deg C)	2001	4	18	1	0.45	1.3	1.3			
Mean Temp (deg C)	2001	4	19	1	0.45	2.2	2.2			
Mean Temp (deg C)	2001	4	20	1	0.45	6.0	6.0			
Mean Temp (deg C)	2001	4	21	1	0.45	9.6	9.6			
Mean Temp (deg C)	2001	4	22	1	0.45	9.1	9.1			
Mean Temp (deg C)	2001	4	23	1	0.45	5.8	5.8			
Mean Temp (deg C)	2001	4	24	1	0.45	10.9	10.9			
Mean Temp (deg C)	2001	4	25	1	0.45	4.7	4.7			
Mean Temp (deg C)	2001	4	26	1	0.45	6.9	6.9			
Mean Temp (deg C)	2001	4	27	1	0.45	7.5	7.5			
Mean Temp (deg C)	2001	4	28	1	0.45	3.1	3.1			
Mean Temp (deg C)	2001	4	29	1	0.45	4.5	4.5			
Mean Temp (deg C)	2001	4	30	1	0.45	9.2	9.2			
Mean Temp (deg C)	2001	5	1	1	0.45	16.1	16.1			
Mean Temp (deg C)	2001	5	2	1	0.45	18.8	18.8			
Mean Temp (deg C)	2001	5	3	1	0.45	18.4	18.4			
Mean Temp (deg C)	2001	5	4	1	0.45	14.1	14.1			
Mean Temp (deg C)	2001	5	5	1	0.45	8.5	8.5			
Mean Temp (deg C)	2001	5	6	1	0.45	10.0	10.0			
Mean Temp (deg C)	2001	5	7	1	0.45	11.0	11.0			
Mean Temp (deg C)	2001	5	8	1	0.45	14.7	14.7			
Mean Temp (deg C)	2001	5	9	1	0.45	13.7	13.7			
Mean Temp (deg C)	2001	5	10	1	0.45	16.1	16.1			
Mean Temp (deg C)	2001	5	11	1	0.45	17.5	17.5			
Mean Temp (deg C)	2001	5	12	1	0.45	11.7	11.7			
Mean Temp (deg C)	2001	5	13	1	0.45	10.5	10.5			
Mean Temp (deg C)	2001	5	14	1	0.45	9.9	9.9			
Mean Temp (deg C)	2001	5	15	1	0.45	9.2	9.2			
Mean Temp (deg C)	2001	5	16	1	0.45	10.4	10.4			
Mean Temp (deg C)	2001	5	17	1	0.45	10.8	10.8			
Mean Temp (deg C)	2001	5	18	1	0.45	11.9	11.9			
Mean Temp (deg C)	2001	5	19	1	0.45	12.3	12.3			
Mean Temp (deg C)	2001	5	20	1	0.45	14.1	14.1			
Mean Temp (deg C)	2001	5	21	1	0.45	17.1	17.1			
Mean Temp (deg C)	2001	5	22	1	0.45	16.9	16.9			
Mean Temp (deg C)	2001	5	23	1	0.45	17.2	17.2			
Mean Temp (deg C)	2001	5	24	1	0.45	14.9	14.9			
Mean Temp (deg C)	2001	5	25	1	0.45	17.5	17.5			
Mean Temp (deg C)	2001	5	26	1	0.45	17.6	17.6			
Mean Temp (deg C)	2001	5	27	1	0.45	13.7	13.7			
Mean Temp (deg C)	2001	5	28	1	0.45	14.1	14.1			
Mean Temp (deg C)	2001	5	29	1	0.45	12.5	12.5			
Mean Temp (deg C)	2001	5	30	1	0.45	6.6	6.6			
Mean Temp (deg C)	2001	5	31	1	0.45	10.5	10.5			
Mean Temp (deg C)	2001	6	1	1	0.45	11.8	11.8			
Mean Temp (deg C)	2001	6	2	1	0.45	11.8	11.8			
Mean Temp (deg C)	2001	6	3	1	0.45	11.8	11.8			
Mean Temp (deg C)	2001	6	4	1	0.45	11.6	11.6			
Mean Temp (deg C)	2001	6	5	1	0.45	14.8	14.8			
Mean Temp (deg C)	2001	6	6	1	0.45	15.6	15.6			
Mean Temp (deg C)	2001	6	7	1	0.45	16.6	16.6			
Mean Temp (deg C)	2001	6	8	1	0.45	13.7	13.7			
Mean Temp (deg C)	2001	6	9	1	0.45	15.0	15.0			
Mean Temp (deg C)	2001	6	10	1	0.45	17.1	17.1			
Mean Temp (deg C)	2001	6	11	1	0.45	18.2	18.2			
Mean Temp (deg C)	2001	6	12	1	0.45	16.2	16.2			
Mean Temp (deg C)	2001	6	13	1	0.45	19.6	19.6			
Mean Temp (deg C)	2001	6	14	1	0.45	21.5	21.5			
Mean Temp (deg C)	2001	6	15	1	0.45	25.1	25.1			
Mean Temp (deg C)	2001	6	16	1	0.45	23.6	23.6			
Mean Temp (deg C)	2001	6	17	1	0.45	19.0	19.0			
Mean Temp (deg C)	2001	6	18	1	0.45	17.7	17.7			
Mean Temp (deg C)	2001	6	19	1	0.45	20.7	20.7			
Mean Temp (deg C)	2001	6	20	1	0.45	18.2	18.2			
Mean Temp (deg C)	2001	6	21	1	0.45	17.5	17.5			
Mean Temp (deg C)	2001	6	22	1	0.45	15.3	15.3			
Mean Temp (deg C)	2001	6	23	1	0.45	17.2	17.2			
Mean Temp (deg C)	2001	6	24	1	0.45	19.6	19.6			
Mean Temp (deg C)	2001	6	25	1	0.45	21.5	21.5			
Mean Temp (deg C)	2001	6	26	1	0.45	22.6	22.6			
Mean Temp (deg C)	2001	6	27	1	0.45	23.2	23.2			
Mean Temp (deg C)	2001	6	28	1	0.45	17.0	17.0			
Mean Temp (deg C)	2001	6	29	1	0.45	14.4	14.4			
Mean Temp (deg C)	2001	6	30	1	0.45	20.4	20.4			
Mean Temp (deg C)	2001	7	1	1	0.45	15.8	15.8			
Mean Temp (deg C)	2001	7	2	1	0.45	13.1	13.1			
Mean Temp (deg C)	2001	7	3	1	0.45	15.2	15.2			
Mean Temp (deg C)	2001	7	4	1	0.45	18.5	18.5			
Mean Temp (deg C)	2001	7	5	1	0.45	17.0	17.0			
Mean Temp (deg C)	2001	7	6	1	0.45	12.8	12.8			
Mean Temp (deg C)	2001	7	7	1	0.45	17.4	17.4			
Mean Temp (deg C)	2001	7	8	1	0.45	16.6	16.6			
Mean Temp (deg C)	2001	7	9	1	0.45	20.3	20.3			
Mean Temp (deg C)	2001	7	10	1	0.45	17.8	17.8			
Mean Temp (deg C)	2001	7	11	1	0.45	16.9	16.9			
Mean Temp (deg C)	2001	7	12	1	0.45	16.0	16.0			
Mean Temp (deg C)	2001	7	13	1	0.45	17.1	17.1			
Mean Temp (deg C)	2001	7	14	1	0.45	17.2	17.2			
Mean Temp (deg C)	2001	7	15	1	0.45	17.3	17.3			
Mean Temp (deg C)	2001	7	16	1	0.45	16.9	16.9			
Mean Temp (deg C)	2001	7	17	1	0.45	16.4	16.4			
Mean Temp (deg C)	2001	7	18	1	0.45	18.8	18.8			
Mean Temp (deg C)	2001	7	19	1	0.45	20.0	20.0			
Mean Temp (deg C)	2001	7	20	1	0.45	20.1	20.1			
Mean Temp (deg C)	2001	7	21	1	0.45	20.7	20.7			
Mean Temp (deg C)	2001	7	22	1	0.45	21.6	21.6			
Mean Temp (deg C)	2001	7	23	1	0.45	22.8	22.8			
Mean Temp (deg C)	2001	7	24	1	0.45	23.3	23.3			
Mean Temp (deg C)	2001	7	25	1	0.45	18.2	18.2			
Mean Temp (deg C)	2001	7	26	1	0.45	12.8	12.8			
Mean Temp (deg C)	2001	7	27	1	0.45	13.4	13.4			
Mean Temp (deg C)	2001	7	28	1	0.45	15.6	15.6			
Mean Temp (deg C)	2001	7	29	1	0.45	18.4	18.4			
Mean Temp (deg C)	2001	7	30	1	0.45	20.3	20.3			
Mean Temp (deg C)	2001	7	31	1	0.45	21.6	21.6			
Mean Temp (deg C)	2001	8	1	1	0.45	22.2	22.2			
Mean Temp (deg C)	2001	8	2	1	0.45	23.7	23.7			
Mean Temp (deg C)	2001	8	3	1	0.45	22.8	22.8			
Mean Temp (deg C)	2001	8	4	1	0.45	20.9	20.9			
Mean Temp (deg C)	2001	8	5	1	0.45	20.8	20.8			
Mean Temp (deg C)	2001	8	6	1	0.45	22.8	22.8			
Mean Temp (deg C)	2001	8	7	1	0.45	22.6	22.6			
Mean Temp (deg C)	2001	8	8	1	0.45	19.2	19.2			
Mean Temp (deg C)	2001	8	9	1	0.45	23.4	23.4			
Mean Temp (deg C)	2001	8	10	1	0.45	20.9	20.9			
Mean Temp (deg C)	2001	8	11	1	0.45	16.2	16.2			
Mean Temp (deg C)	2001	8	12	1	0.45	20.1	20.1			
Mean Temp (deg C)	2001	8	13	1	0.45	19.5	19.5			
Mean Temp (deg C)	2001	8	14	1	0.45	16.4	16.4			
Mean Temp (deg C)	2001	8	15	1	0.45	18.6	18.6			
Mean Temp (deg C)	2001	8	16	1	0.45	19.6	19.6			
Mean Temp (deg C)	2001	8	17	1	0.45	19.6	19.6			
Mean Temp (deg C)	2001	8	18	1	0.45	19.4	19.4			
Mean Temp (deg C)	2001	8	19	1	0.45	19.5	19.5			
Mean Temp (deg C)	2001	8	20	1	0.45	14.8	14.8			
Mean Temp (deg C)	2001	8	21	1	0.45	18.3	18.3			
Mean Temp (deg C)	2001	8	22	1	0.45	20.3	20.3			
Mean Temp (deg C)	2001	8	23	1	0.45	18.3	18.3			
Mean Temp (deg C)	2001	8	24	1	0.45	14.1	14.1			
Mean Temp (deg C)	2001	8	25	1	0.45	15.0	15.0			
Mean Temp (deg C)	2001	8	26	1	0.45	15.0	15.0			
Mean Temp (deg C)	2001	8	27	1	0.45	18.9	18.9			
Mean Temp (deg C)	2001	8	28	1	0.45	15.6	15.6			
Mean Temp (deg C)	2001	8	29	1	0.45	13.9	13.9			
Mean Temp (deg C)	2001	8	30	1	0.45	13.7	13.7			
Mean Temp (deg C)	2001	8	31	1	0.45	18.4	18.4			
Mean Temp (deg C)	2001	9	1	1	0.45	12.0	12.0			
Mean Temp (deg C)	2001	9	2	1	0.45	11.1	11.1			
Mean Temp (deg C)	2001	9	3	1	0.45	15.3	15.3			
Mean Temp (deg C)	2001	9	4	1	0.45	16.0	16.0			
Mean Temp (deg C)	2001	9	5	1	0.45	13.4	13.4			
Mean Temp (deg C)	2001	9	6	1	0.45	12.5	12.5			
Mean Temp (deg C)	2001	9	7	1	0.45	18.3	18.3			
Mean Temp (deg C)	2001	9	8	1	0.45	22.2	22.2			
Mean Temp (deg C)	2001	9	9	1	0.45	24.4	24.4			
Mean Temp (deg C)	2001	9	10	1	0.45	21.8	21.8			
Mean Temp (deg C)	2001	9	11	1	0.45	14.0	14.0			
Mean Temp (deg C)	2001	9	12	1	0.45	12.3	12.3			
Mean Temp (deg C)	2001	9	13	1	0.45	11.5	11.5			
Mean Temp (deg C)	2001	9	14	1	0.45	9.3	9.3			
Mean Temp (deg C)	2001	9	15	1	0.45	8.9	8.9			
Mean Temp (deg C)	2001	9	16	1	0.45	14.2	14.2			
Mean Temp (deg C)	2001	9	17	1	0.45	15.3	15.3			
Mean Temp (deg C)	2001	9	18	1	0.45	13.7	13.7			
Mean Temp (deg C)	2001	9	19	1	0.45	11.7	11.7			
Mean Temp (deg C)	2001	9	20	1	0.45	13.6	13.6			
Mean Temp (deg C)	2001	9	21	1	0.45	15.4	15.4			
Mean Temp (deg C)	2001	9	22	1	0.45	16.4	16.4			
Mean Temp (deg C)	2001	9	23	1	0.45	17.0	17.0			
Mean Temp (deg C)	2001	9	24	1	0.45	16.3	16.3			
Mean Temp (deg C)	2001	9	25	1	0.45	13.5	13.5			
Mean Temp (deg C)	2001	9	26	1	0.45	11.1	11.1			
Mean Temp (deg C)	2001	9	27	1	0.45	10.7	10.7			
Mean Temp (deg C)	2001	9	28	1	0.45	10.0	10.0			
Mean Temp (deg C)	2001	9	29	1	0.45	8.6	8.6			
Mean Temp (deg C)	2001	9	30	1	0.45	8.9	8.9			
Mean Temp (deg C)	2001	10	1	1	0.45	9.8	9.8			
Mean Temp (deg C)	2001	10	2	1	0.45	13.3	13.3			
Mean Temp (deg C)	2001	10	3	1	0.45	8.3	8.3			
Mean Temp (deg C)	2001	10	4	1	0.45	12.1	12.1			
Mean Temp (deg C)	2001	10	5	1	0.45	9.5	9.5			
Mean Temp (deg C)	2001	10	6	1	0.45	6.4	6.4			
Mean Temp (deg C)	2001	10	7	1	0.45	5.6	5.6			
Mean Temp (deg C)	2001	10	8	1	0.45	3.9	3.9			
Mean Temp (deg C)	2001	10	9	1	0.45	5.6	5.6			
Mean Temp (deg C)	2001	10	10	1	0.45	7.6	7.6			
Mean Temp (deg C)	2001	10	11	1	0.45	13.1	13.1			
Mean Temp (deg C)	2001	10	12	1	0.45	13.1	13.1			
Mean Temp (deg C)	2001	10	13	1	0.45	12.0	12.0			
Mean Temp (deg C)	2001	10	14	1	0.45	13.7	13.7			
Mean Temp (deg C)	2001	10	15	1	0.45	11.3	11.3			
Mean Temp (deg C)	2001	10	16	1	0.45	10.3	10.3			
Mean Temp (deg C)	2001	10	17	1	0.45	6.7	6.7			
Mean Temp (deg C)	2001	10	18	1	0.45	3.0	3.0			
Mean Temp (deg C)	2001	10	19	1	0.45	4.5	4.5			
Mean Temp (deg C)	2001	10	20	1	0.45	8.7	8.7			
Mean Temp (deg C)	2001	10	21	1	0.45	7.6	7.6			
Mean Temp (deg C)	2001	10	22	1	0.45	4.1	4.1			
Mean Temp (deg C)	2001	10	23	1	0.45	3.5	3.5			
Mean Temp (deg C)	2001	10	24	1	0.45	12.0	12.0			
Mean Temp (deg C)	2001	10	25	1	0.45	8.6	8.6			
Mean Temp (deg C)	2001	10	26	1	0.45	6.5	6.5			
Mean Temp (deg C)	2001	10	27	1	0.45	4.0	4.0			
Mean Temp (deg C)	2001	10	28	1	0.45	1.1	1.1			
Mean Temp (deg C)	2001	10	29	1	0.45	1.5	1.5			
Mean Temp (deg C)	2001	10	30	1	0.45	1.4	1.4			
Mean Temp (deg C)	2001	10	31	1	0.45	-1.2	-1.2			
Mean Temp (deg C)	2001	11	1	1	0.45	3.8	3.8			
Mean Temp (deg C)	2001	11	2	1	0.45	10.3	10.3			
Mean Temp (deg C)	2001	11	3	1	0.45	7.1	7.1			
Mean Temp (deg C)	2001	11	4	1	0.45	3.7	3.7			
Mean Temp (deg C)	2001	11	5	1	0.45	5.3	5.3			
Mean Temp (deg C)	2001	11	6	1	0.45	4.1	4.1			
Mean Temp (deg C)	2001	11	7	1	0.45	3.0	3.0			
Mean Temp (deg C)	2001	11	8	1	0.45	-0.3	-0.3			
Mean Temp (deg C)	2001	11	9	1	0.45	1.1	1.1			
Mean Temp (deg C)	2001	11	10	1	0.45	-1.4	-1.4			
Mean Temp (deg C)	2001	11	11	1	0.45	-2.0	-2.0			
Mean Temp (deg C)	2001	11	12	1	0.45	-2.8	-2.8			
Mean Temp (deg C)	2001	11	13	1	0.45	-6.2	-6.2			
Mean Temp (deg C)	2001	11	14	1	0.45	0.9	0.9			
Mean Temp (deg C)	2001	11	15	1	0.45	7.3	7.3			
Mean Temp (deg C)	2001	11	16	1	0.45	3.2	3.2			
Mean Temp (deg C)	2001	11	17	1	0.45	-3.1	-3.1			
Mean Temp (deg C)	2001	11	18	1	0.45	1.5	1.5			
Mean Temp (deg C)	2001	11	19	1	0.45	6.5	6.5			
Mean Temp (deg C)	2001	11	20	1	0.45	3.3	3.3			
Mean Temp (deg C)	2001	11	21	1	0.45	-2.4	-2.4			
Mean Temp (deg C)	2001	11	22	1	0.45	0.3	0.3			
Mean Temp (deg C)	2001	11	23	1	0.45	2.1	2.1			
Mean Temp (deg C)	2001	11	24	1	0.45	4.6	4.6			
Mean Temp (deg C)	2001	11	25	1	0.45	9.3	9.3			
Mean Temp (deg C)	2001	11	26	1	0.45	7.5	7.5			
Mean Temp (deg C)	2001	11	27	1	0.45	0.3	0.3			
Mean Temp (deg C)	2001	11	28	1	0.45	-3.0	-3.0			
Mean Temp (deg C)	2001	11	29	1	0.45	-4.3	-4.3			
Mean Temp (deg C)	2001	11	30	1	0.45	-1.0	-1.0			
Mean Temp (deg C)	2001	12	1	1	0.45	3.0	3.0			
Mean Temp (deg C)	2001	12	2	1	0.45	2.4	2.4			
Mean Temp (deg C)	2001	12	3	1	0.45	1.2	1.2			
Mean Temp (deg C)	2001	12	4	1	0.45	2.8	2.8			
Mean Temp (deg C)	2001	12	5	1	0.45	3.1	3.1			
Mean Temp (deg C)	2001	12	6	1	0.45	7.9	7.9			
Mean Temp (deg C)	2001	12	7	1	0.45	-0.4	-0.4			
Mean Temp (deg C)	2001	12	8	1	0.45	-3.2	-3.2			
Mean Temp (deg C)	2001	12	9	1	0.45	-2.6	-2.6			
Mean Temp (deg C)	2001	12	10	1	0.45	-1.0	-1.0			
Mean Temp (deg C)	2001	12	11	1	0.45	0.8	0.8			
Mean Temp (deg C)	2001	12	12	1	0.45	-2.7	-2.7			
Mean Temp (deg C)	2001	12	13	1	0.45	0.6	0.6			
Mean Temp (deg C)	2001	12	14	1	0.45	1.5	1.5			
Mean Temp (deg C)	2001	12	15	1	0.45	-4.4	-4.4			
Mean Temp (deg C)	2001	12	16	1	0.45	-5.7	-5.7			
Mean Temp (deg C)	2001	12	17	1	0.45	-6.3	-6.3			
Mean Temp (deg C)	2001	12	18	1	0.45	-2.6	-2.6			
Mean Temp (deg C)	2001	12	19	1	0.45	-1.9	-1.9			
Mean Temp (deg C)	2001	12	20	1	0.45	-2.1	-2.1			
Mean Temp (deg C)	2001	12	21	1	0.45	-4.7	-4.7			
Mean Temp (deg C)	2001	12	22	1	0.45	-6.9	-6.9			
Mean Temp (deg C)	2001	12	23	1	0.45	-7.1	-7.1			
Mean Temp (deg C)	2001	12	24	1	0.45	-1.8	-1.8			
Mean Temp (deg C)	2001	12	25	1	0.45	-3.8	-3.8			
Mean Temp (deg C)	2001	12	26	1	0.45	-3.3	-3.3			
Mean Temp (deg C)	2001	12	27	1	0.45	-7.2	-7.2			
Mean Temp (deg C)	2001	12	28	1	0.45	-9.0	-9.0			
Mean Temp (deg C)	2001	12	29	1	0.45	-7.4	-7.4			
Mean Temp (deg C)	2001	12	30	1	0.45	-10.2	-10.2			
Mean Temp (deg C)	2001	12	31	1	0.45	-12.4	-12.4			
Mean Temp (deg C)	2002	1	1	1	0.45	-13.3	-13.3			
Mean Temp (deg C)	2002	1	2	1	0.45	-9.3	-9.3			
Mean Temp (deg C)	2002	1	3	1	0.45	-8.8	-8.8			
Mean Temp (deg C)	2002	1	4	1	0.45	-15.0	-15.0			
Mean Temp (deg C)	2002	1	5	1	0.45	-9.9	-9.9			
Mean Temp (deg C)	2002	1	6	1	0.45	-2.2	-2.2			
Mean Temp (deg C)	2002	1	7	1	0.45	-8.7	-8.7			
Mean Temp (deg C)	2002	1	8	1	0.45	-11.2	-11.2			
Mean Temp (deg C)	2002	1	9	1	0.45	-2.4	-2.4			
Mean Temp (deg C)	2002	1	10	1	0.45	-0.1	-0.1			
Mean Temp (deg C)	2002	1	11	1	0.45	-2.0	-2.0			
Mean Temp (deg C)	2002	1	12	1	0.45	-6.7	-6.7			
Mean Temp (deg C)	2002	1	13	1	0.45	-3.4	-3.4			
Mean Temp (deg C)	2002	1	14	1	0.45	-7.1	-7.1			
Mean Temp (deg C)	2002	1	15	1	0.45	-8.4	-8.4			
Mean Temp (deg C)	2002	1	16	1	0.45	-10.2	-10.2			
Mean Temp (deg C)	2002	1	17	1	0.45	-10.4	-10.4			
Mean Temp (deg C)	2002	1	18	1	0.45	-12.4	-12.4			
Mean Temp (deg C)	2002	1	19	1	0.45	-16.0	-16.0			
Mean Temp (deg C)	2002	1	20	1	0.45	-7.7	-7.7			
Mean Temp (deg C)	2002	1	21	1	0.45	-6.0	-6.0			
Mean Temp (deg C)	2002	1	22	1	0.45	-8.1	-8.1			
Mean Temp (deg C)	2002	1	23	1	0.45	-4.3	-4.3			
Mean Temp (deg C)	2002	1	24	1	0.45	-3.0	-3.0			
Mean Temp (deg C)	2002	1	25	1	0.45	-10.4	-10.4			
Mean Temp (deg C)	2002	1	26	1	0.45	-6.7	-6.7			
Mean Temp (deg C)	2002	1	27	1	0.45	-8.4	-8.4			
Mean Temp (deg C)	2002	1	28	1	0.45	-5.5	-5.5			
