VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	TORONTO LESTER B. PEARSON INT'L 	TORONTO BUTTONVILLE A	TORONTO	RICHMOND HILL	TORONTO ISLAND A	GEORGETOWN WWTP	TORONTO MALVERN	BRAMPTON MOE	TORONTO ELLESMERE	WOODBRIDGE
Total Precip (mm)	1993	10	30	4	2.79	1.9	2.0	1.4		1.4	3.0				
Total Precip (mm)	1993	10	31	4	2.79	0.8	0.6	0.0		0.4	1.8				
Total Precip (mm)	1993	11	5	4	2.79	7.3	8.9	0.0		10.2	0.2				
Total Precip (mm)	1993	11	6	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	11	7	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	11	13	4	2.79	1.4	1.7	0.2		1.6	0.8				
Total Precip (mm)	1993	11	15	4	2.79	1.8	2.8	0.0		2.0	0.2				
Total Precip (mm)	1993	11	17	4	2.79	1.1	0.6	1.8		1.2	1.6				
Total Precip (mm)	1993	11	25	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	11	27	4	2.79	39.2	43.7	54.0		43.0	26.0				
Total Precip (mm)	1993	11	30	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	12	11	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	12	22	4	2.79	1.3	1.0	1.6		1.6	1.0				
Total Precip (mm)	1993	12	24	4	2.79	0.3	0.8	0.0		0.0	0.2				
Total Precip (mm)	1993	12	27	4	2.79	0.0	0.0	0.0		0.0	0.0				
Total Precip (mm)	1993	12	28	4	2.79	0.0	0.0	0.0		0.0	0.0				
